用户ID,订单日期,所在城市,商品类别,订单金额,购买数量,支付方式,用户评分
U000001,2024-11-23,成都,电子产品,824.18,3,现金,3.0
U000002,2024-02-27,上海,家居用品,665.43,1,银行卡,4.0
U000003,2024-01-13,上海,家居用品,861.92,5,现金,1.0
U000004,2024-05-20,上海,服装鞋帽,1080.76,7,微信支付,5.0
U000005,2024-05-05,广州,电子产品,641.46,6,现金,3.0
U000006,2024-04-24,杭州,服装鞋帽,641.47,1,微信支付,2.0
U000007,2024-03-12,成都,食品生鲜,1094.8,5,现金,2.0
U000008,2024-02-22,深圳,电子产品,891.86,5,微信支付,3.0
U000009,2024-12-12,上海,食品生鲜,582.63,6,银行卡,2.0
U000010,2024-10-06,重庆,家居用品,835.64,3,微信支付,4.0
U000011,2024-02-14,北京,食品生鲜,584.15,5,微信支付,1.0
U000012,2024-10-29,杭州,电子产品,583.57,7,微信支付,4.0
U000013,2024-08-04,成都,服装鞋帽,760.49,5,现金,2.0
U000014,2024-01-17,北京,服装鞋帽,221.68,5,银行卡,5.0
U000015,2024-01-16,广州,美妆护肤,268.77,5,微信支付,1.0
U000016,2024-02-17,北京,电子产品,559.43,3,支付宝,1.0
U000017,2024-04-21,重庆,服装鞋帽,446.79,1,支付宝,3.0
U000018,2024-04-29,上海,服装鞋帽,778.56,5,微信支付,3.0
U000019,2024-09-15,深圳,家居用品,472.99,9,银行卡,5.0
U000020,2024-11-04,杭州,食品生鲜,346.92,1,微信支付,1.0
U000021,2024-01-14,深圳,美妆护肤,1066.41,3,支付宝,5.0
U000022,2024-10-14,北京,电子产品,643.56,4,支付宝,3.0
U000023,2024-04-11,重庆,电子产品,716.88,1,现金,3.0
U000024,2024-11-28,杭州,服装鞋帽,343.81,1,银行卡,1.0
U000025,2024-12-25,上海,电子产品,563.9,8,银行卡,4.0
U000026,2024-10-06,北京,服装鞋帽,727.73,2,微信支付,2.0
U000027,2024-08-02,广州,电子产品,412.25,8,现金,3.0
U000028,2024-04-22,深圳,电子产品,793.92,7,现金,3.0
U000029,2024-08-17,深圳,家居用品,549.84,2,微信支付,4.0
U000030,2024-10-28,北京,食品生鲜,627.08,6,现金,4.0
U000031,2024-05-22,广州,美妆护肤,549.57,6,支付宝,5.0
U000032,2024-01-04,重庆,美妆护肤,1163.07,3,微信支付,5.0
U000033,2024-03-22,重庆,食品生鲜,696.63,2,微信支付,2.0
U000034,2024-12-23,北京,食品生鲜,435.57,1,支付宝,2.0
U000035,2024-08-04,广州,服装鞋帽,905.64,6,银行卡,1.0
U000036,2024-06-23,杭州,食品生鲜,394.79,5,支付宝,5.0
U000037,2024-05-22,杭州,服装鞋帽,752.22,9,微信支付,3.0
U000038,2024-03-20,广州,食品生鲜,210.08,1,现金,5.0
U000039,2024-04-20,深圳,食品生鲜,367.95,7,微信支付,3.0
U000040,2024-06-21,重庆,食品生鲜,749.22,5,银行卡,4.0
U000041,2024-02-22,重庆,美妆护肤,884.62,5,支付宝,
U000042,2024-02-17,成都,家居用品,742.84,2,微信支付,4.0
U000043,2024-07-13,重庆,家居用品,671.09,3,支付宝,2.0
U000044,2024-02-19,上海,电子产品,624.72,7,微信支付,2.0
U000045,2024-07-02,上海,服装鞋帽,330.37,6,银行卡,1.0
U000046,2024-06-25,成都,家居用品,520.04,2,现金,5.0
U000047,2024-11-05,上海,美妆护肤,584.84,6,银行卡,4.0
U000048,2024-05-15,广州,食品生鲜,964.28,2,银行卡,3.0
U000049,2024-01-23,上海,电子产品,785.9,2,银行卡,2.0
U000050,2024-08-23,重庆,家居用品,259.24,2,银行卡,2.0
U000051,2024-10-01,成都,美妆护肤,781.02,3,银行卡,3.0
U000052,2024-03-04,广州,食品生鲜,603.73,2,银行卡,4.0
U000053,2024-07-12,杭州,家居用品,530.77,4,支付宝,
U000054,2024-02-10,成都,电子产品,852.92,9,微信支付,5.0
U000055,2024-10-09,上海,食品生鲜,957.75,6,现金,5.0
U000056,2024-05-30,上海,食品生鲜,932.82,1,现金,1.0
U000057,2024-11-17,杭州,服装鞋帽,490.2,8,微信支付,2.0
U000058,2024-11-12,广州,美妆护肤,622.7,7,支付宝,5.0
